Job Title,Company Name,Education,Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading
Software Engineer,Tech Innovations,3,4.5,5,4.1,4.2,4.4,4,4.3,3.2,4.1,5,4.2,3.3,2.1,5,4.4,5,3.9
Marketing Manager,Creative Solutions,3,3.8,4.3,4.5,3.7,4,4.2,4,3.9,4.4,4.2,3.5,2.8,4.1,4.6,3.3,4,3.8
Data Analyst,Data Insights,4,4.1,5,4,4.3,4.4,4.1,4.4,3.3,4.2,5,3.8,3.1,2.6,5,4.2,4.5,3.7
Project Manager,Global Ventures,3,4.6,4.7,4.2,4.5,4.3,4.6,4.3,3.5,5,4.8,3.9,3.7,4.2,5,5,4.3,4.6
HR Specialist,PeopleFirst,2,3.4,3.5,3.9,3.1,4,5,4.2,3.6,4.3,3.8,3.3,2.4,4,4.1,3.5,4.2,4.3
Sales Executive,SalesCorp,3,4.1,4.2,3.8,3.7,4.2,5,4.1,3.8,5,4.2,3.6,2.7,4,4.5,4.1,4.5,4.2
Graphic Designer,DesignHub,3,3.7,4.4,4.6,3.8,3.9,4,4.3,4.5,4,3.7,2.9,3.2,4.1,4.3,4,4.3,4.1
IT Support Specialist,TechAssist,2,4,5,3.5,4.4,4,4.5,4.4,3.4,4,5,3.8,3,2.9,5,4.3,4,4.2
Content Writer,WriteOn,2,3.9,3.8,4.7,4.3,4.1,4,4.2,3.9,4.5,3.8,2.8,2.6,4.2,4.4,4.1,4.2,5
Operations Manager,Streamline Logistics,3,4.4,4.5,4,4.3,4.5,4.3,4.2,3.5,5,4.8,3.4,2.7,4.1,4.7,5,4.5,4.1
Customer Service Rep,HelpDesk,1,4,3,3.5,3,4.4,5,4.6,4.2,4.3,4,3.5,2.9,4.4,4.6,3.2,4.2,4.7
Business Analyst,Insight Partners,3,4.3,4.8,4,4.1,4,4.2,4.3,3.5,4.6,4.3,3.7,3.2,3.9,4.5,4.5,4.1,4.2
Financial Analyst,FinPro,4,4.2,4.4,3.9,4,4.2,4.2,4,3.3,4.3,4.5,3.5,3,2.8,4.3,4,4.4,4.1
Executive Assistant,ExecSupport,3,3.9,3.7,3.8,3.5,4.1,4.5,4.3,3.7,4.1,3.8,3.2,3.1,4,4.2,4.1,3.8,4.2
UX/UI Designer,PixelPerfect,4,4.5,5,4.8,4.2,4,4,4.3,4.2,4.4,4.7,3.6,2.9,3.8,4.5,4.4,4.7,3.8
Research Scientist,Innovative Labs,5,4.3,5,4.5,4.8,4.4,3.9,4,3,4.6,5,5,4.2,2.9,5,4.9,5,4.1
